sub,obj
http://abacwsbuilding.cardiff.ac.uk/abacws#Room5.01,http://abacwsbuilding.cardiff.ac.uk/abacws#airq5.01
http://abacwsbuilding.cardiff.ac.uk/abacws#Room5.02,http://abacwsbuilding.cardiff.ac.uk/abacws#airq5.02
http://abacwsbuilding.cardiff.ac.uk/abacws#Room5.03,http://abacwsbuilding.cardiff.ac.uk/abacws#airq5.03
http://abacwsbuilding.cardiff.ac.uk/abacws#Room5.04,http://abacwsbuilding.cardiff.ac.uk/abacws#airq5.04
http://abacwsbuilding.cardiff.ac.uk/abacws#Room5.05,http://abacwsbuilding.cardiff.ac.uk/abacws#airq5.05
